IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum
5,05370,A35-A59,W,3,0,1583366400000
5,05370,A35-A59,W,1,0,1583366400000
5,05370,A35-A59,W,4,0,1583366400000
5,05370,A35-A59,W,1,0,1583366400000
5,05370,A35-A59,W,1,0,1583366400000
5,05374,A35-A59,M,1,0,1583366400000
5,05374,A60-A79,W,2,0,1583366400000
5,05382,A35-A59,W,1,0,1583366400000
5,05513,A15-A34,W,1,0,1583366400000
5,05513,A35-A59,M,1,0,1583366400000
5,05515,A00-A04,W,1,0,1583366400000
5,05554,A05-A14,W,1,0,1583366400000
5,05554,A05-A14,W,1,0,1583366400000
5,05554,A15-A34,M,1,0,1583366400000
5,05554,A35-A59,M,1,0,1583366400000
5,05913,A60-A79,M,1,0,1583366400000
5,05913,A60-A79,W,1,0,1583366400000
5,05962,A35-A59,M,1,0,1583366400000
5,05978,A60-A79,W,1,0,1583366400000
6,06412,A35-A59,W,1,0,1583366400000
6,06412,A35-A59,W,1,0,1583366400000
6,06439,A15-A34,W,1,0,1583366400000
6,06531,A15-A34,W,1,0,1583366400000
6,06535,A15-A34,W,1,0,1583366400000
6,06635,A60-A79,W,1,0,1583366400000
7,07111,A35-A59,W,1,0,1583366400000
8,08111,A35-A59,M,2,0,1583366400000
8,08115,A15-A34,M,1,0,1583366400000
8,08115,A35-A59,W,1,0,1583366400000
8,08116,A15-A34,M,1,0,1583366400000
8,08116,A15-A34,M,1,0,1583366400000
8,08116,A15-A34,W,1,0,1583366400000
8,08116,A60-A79,M,1,0,1583366400000
8,08116,A60-A79,W,1,0,1583366400000
8,08118,A15-A34,W,1,0,1583366400000
8,08118,A35-A59,M,1,0,1583366400000
8,08119,A35-A59,M,1,0,1583366400000
8,08121,A35-A59,M,1,0,1583366400000
8,08125,A15-A34,M,1,0,1583366400000
8,08125,A35-A59,M,2,0,1583366400000
8,08125,A35-A59,W,1,0,1583366400000
8,08125,A35-A59,W,1,0,1583366400000
8,08126,A35-A59,W,1,0,1583366400000
8,08128,A00-A04,M,1,0,1583366400000
8,08128,A15-A34,M,1,0,1583366400000
8,08128,A35-A59,M,1,0,1583366400000
8,08128,A35-A59,W,2,0,1583366400000
8,08222,A15-A34,W,1,0,1583366400000
8,08226,A35-A59,M,1,0,1583366400000
8,08226,A35-A59,W,1,0,1583366400000
8,08235,A15-A34,M,1,0,1583366400000
8,08315,A35-A59,W,1,0,1583366400000
8,08317,A15-A34,M,1,0,1583366400000
8,08317,A15-A34,W,1,0,1583366400000
8,08317,A15-A34,W,1,0,1583366400000
8,08417,A35-A59,W,1,0,1583366400000
8,08417,A60-A79,M,1,0,1583366400000
8,08436,A35-A59,W,1,0,1583366400000
9,09162,A05-A14,M,1,0,1583366400000
9,09162,A15-A34,W,1,0,1583366400000
9,09162,A15-A34,W,1,0,1583366400000
9,09162,A35-A59,M,1,0,1583366400000
9,09162,A35-A59,W,1,0,1583366400000
9,09178,A60-A79,M,1,0,1583366400000
9,09182,A35-A59,M,1,0,1583366400000
9,09184,A35-A59,M,1,0,1583366400000
9,09184,A35-A59,W,1,0,1583366400000
9,09188,A35-A59,M,1,0,1583366400000
9,09190,A80+,M,1,1,1583366400000
9,09562,A35-A59,M,2,0,1583366400000
9,09564,A35-A59,W,1,0,1583366400000
9,09572,A05-A14,W,1,0,1583366400000
9,09572,A15-A34,W,1,0,1583366400000
9,09572,A35-A59,M,1,0,1583366400000
9,09663,A15-A34,M,1,0,1583366400000
9,09672,A15-A34,M,1,0,1583366400000
9,09775,A35-A59,M,1,0,1583366400000
9,09775,A35-A59,W,1,0,1583366400000
9,09780,A35-A59,W,1,0,1583366400000
11,11001,A00-A04,M,1,0,1583366400000
11,11001,A15-A34,W,1,0,1583366400000
11,11001,A35-A59,M,1,0,1583366400000
11,11001,A35-A59,W,1,0,1583366400000
11,11002,A05-A14,W,1,0,1583366400000
